location,bedrooms,bath,size,price
"Shegunbagicha,Dhaka",3,3,1500,40
"WestShewrapara,Mirpur,Dhaka",3,3,1180,18
"UttarBadda,Badda,Dhaka",3,3,1765,20
"Pirerbag,Mirpur,Dhaka",3,3,1200,17
"Mohammadpur,Dhaka",3,2,1050,25
"BlockB,ChandrimaModelTown,Mohammadpur,Dhaka",3,3,1200,12
"Shahjadpur,Badda,Dhaka",3,3,1100,20
"NewEskaton,Eskaton,Dhaka",3,2,1150,26
"BlockD,BashundharaR-A,Dhaka",3,4,2100,40
"MerulBadda,Badda,Dhaka",2,2,1000,20
"WestShewrapara,Mirpur,Dhaka",2,1,500,9
"Shahjadpur,Badda,Dhaka",3,3,1100,20
"Kafrul,Dhaka",2,2,750,10
"Section1,Mirpur,Dhaka",3,2,1100,15
"BlockI,BashundharaR-A,Dhaka",3,3,1350,26
"Talertek,Khilkhet,Dhaka",2,2,650,10.5
"Pirerbag,Mirpur,Dhaka",3,3,1200,18
"ShahAliBag,Section1,Mirpur,Dhaka",3,2,1171,13
"RKMissionRoad,Gopibag,Motijheel,Dhaka",2,2,750,16
"PCCultureHousing,Mohammadpur,Dhaka",3,3,1500,30
"Talertek,Khilkhet,Dhaka",2,2,650,11.5
"BlockA,SatMasjidHousing,Mohammadpur,Dhaka",2,3,900,16
"SouthBanasreeProject,Banasree,Dhaka",4,3,2200,30
"BlockC,BashundharaR-A,Dhaka",3,4,1643,35
"NorthIbrahimpur,Ibrahimpur,Dhaka",2,2,850,11.5
"MiddleMonipur,Mirpur,Dhaka",2,2,700,11
"Hatirpool,Dhaka",3,4,1740,38
"ShahAliBag,Section1,Mirpur,Dhaka",3,2,1000,17
"WestShewrapara,Mirpur,Dhaka",2,1,500,9
"Shantinagar,Dhaka",2,2,700,20
"BlockC,SouthBanasreeProject,Banasree,Dhaka",2,2,600,10
"Mohammadpur,Dhaka",3,3,1650,35
"2ndColony,Mirpur,Dhaka",3,4,1500,25
"1stColony,Mirpur,Dhaka",2,2,600,10.5
"Sector14,Uttara,Dhaka",2,2,900,18
"BlockB,DhakaUddan,Mohammadpur,Dhaka",2,2,850,12
"BlockB,NobodoyHousingSociety,Mohammadpur,Dhaka",2,2,800,14
"RingRoad,Mohammadpur,Dhaka",1,1,400,10.5
"BlockB,Banasree,Dhaka",3,3,1300,21
"BlockE,Section12,Mirpur,Dhaka",2,2,650,12
"Shantibag,Malibagh,Dhaka",2,2,800,17
"Ashkona,DakshinKhan,Dhaka",2,1,650,10.5
"EastNakhalpara,Tejgaon,Dhaka",2,1,550,15
"1stColony,Mirpur,Dhaka",2,2,700,12
"Avenue5,BlockC,Section11,Mirpur,Dhaka",2,2,650,10
"EastNakhalpara,Tejgaon,Dhaka",2,1,500,15
"Arambagh,Motijheel,Dhaka",2,1,550,15
"BlockC,Banasree,Dhaka",3,3,1200,23
"ShyamoliHousing(2ndProject),Adabor,Dhaka",2,2,800,15
"Nayatola,Maghbazar,Dhaka",2,2,1050,18
"2ndColony,Mirpur,Dhaka",2,2,900,15
"Khilgaon,Dhaka",2,2,900,23
"1stColony,Mirpur,Dhaka",2,1,510,10.5
"BlockC,Khilgaon,Dhaka",2,2,900,15
"BlockC,Khilgaon,Dhaka",2,2,650,15
"BlockC,Banasree,Dhaka",3,2,1000,22
"Khilgaon,Dhaka",2,2,750,14
"Khilgaon,Dhaka",3,2,1050,26
"BlockA,Banasree,Dhaka",2,2,1000,14
"EastKazipara,Mirpur,Dhaka",3,3,1200,16
"BlockB,NobodoyHousingSociety,Mohammadpur,Dhaka",2,2,800,12.5
"BlockB,NobodoyHousingSociety,Mohammadpur,Dhaka",3,2,1050,15
"Nikunja2,Nikunja,Dhaka",2,2,750,17
"BlockF,BashundharaR-A,Dhaka",3,4,1900,32
"Mirpur,Dhaka",2,2,800,11
"WestRampura,Rampura,Dhaka",2,2,800,13
"Sector14,Uttara,Dhaka",2,2,950,18
"Mirpur,Dhaka",2,2,875,14
"BlockB,Banasree,Dhaka",3,2,1000,22
"UttarBadda,Badda,Dhaka",2,2,700,17
"Shahjahanpur,Dhaka",3,3,1100,20
"SouthChalabon,DakshinKhan,Dhaka",3,2,1100,15
"EastAzampur,DakshinKhan,Dhaka",2,2,700,11
"MadaniAvenue,NatunBazar,Badda,Dhaka",3,2,1050,17
"NurerChala,Badda,Dhaka",2,2,750,15
"MadaniAvenue,NatunBazar,Badda,Dhaka",3,2,1050,17
"Ullan,Rampura,Dhaka",2,1,700,13
"BlockM,SouthBanasreeProject,Banasree,Dhaka",3,2,1000,14.5
"Lalbagh,Dhaka",2,1,550,10
"Dhanmondi,Dhaka",3,3,1400,25
"BlockB,EasternHousing,Pallabi,Mirpur,Dhaka",2,2,800,11
"Section12,Mirpur,Dhaka",3,3,1600,30
"Kuril,Dhaka",2,2,750,16
"Nadda,Dhaka",1,1,320,12
"JoarSahara,Dhaka",2,2,700,13
"JoarSahara,Dhaka",2,2,750,13
"Madartek,Bashabo,Dhaka",3,2,1000,17
"BlockK,Baridhara,Dhaka",5,5,5000,3
"BlockA,NobodoyHousingSociety,Mohammadpur,Dhaka",3,3,1050,18
"Avenue5,BlockC,Section11,Mirpur,Dhaka",2,2,650,10
"Avenue5,BlockC,Section11,Mirpur,Dhaka",2,2,650,10
"BlockI,BashundharaR-A,Dhaka",3,3,1500,22
"BlockB,Section12,Mirpur,Dhaka",3,3,1700,20
"BlockC,Section12,Mirpur,Dhaka",2,2,650,11
"Dhanmondi,Dhaka",3,3,1250,30
"DakshinKhan,Dhaka",3,2,1100,14
"DakshinKhan,Dhaka",3,2,1170,14
"Ashkona,DakshinKhan,Dhaka",2,1,650,10
"Mirpur,Dhaka",2,2,800,14
"BlockA,NobodoyHousingSociety,Mohammadpur,Dhaka",3,3,1150,20
"BlockA,NobodoyHousingSociety,Mohammadpur,Dhaka",3,3,1150,18
"Gawair,DakshinKhan,Dhaka",2,2,700,11
"BlockA,NobodoyHousingSociety,Mohammadpur,Dhaka",3,3,1050,18
"EastNakhalpara,Tejgaon,Dhaka",2,1,550,15
"Gawair,DakshinKhan,Dhaka",3,2,900,14.5
"Badda,Dhaka",3,3,1250,21
"BashundharaR-A,Dhaka",3,3,1500,25
"ShahAliBag,Section1,Mirpur,Dhaka",3,2,970,17
"Shegunbagicha,Dhaka",3,3,1560,35
"BlockA,DhakaUddan,Mohammadpur,Dhaka",3,2,1050,15
"EastMonipur,Mirpur,Dhaka",2,2,800,12.5
"BaridharaDOHS,Dhaka",5,4,2700,70
"Badda,Dhaka",3,3,1250,21
"Sector2,BlockF,AftabNagar,Dhaka",3,3,1100,18
"Nayatola,Maghbazar,Dhaka",2,2,900,17
"WestShewrapara,Mirpur,Dhaka",2,2,800,12.5
"Khilgaon,Dhaka",3,2,800,17
"Ibrahimpur,Dhaka",3,2,950,15
"Maghbazar,Dhaka",2,2,700,17
"Sector1,BlockE,AftabNagar,Dhaka",3,3,1260,20
"Farmgate,Tejgaon,Dhaka",3,3,1500,28
"Ibrahimpur,Dhaka",2,2,850,10
"Talertek,Khilkhet,Dhaka",2,2,650,11.5
"WestDhanmondiandShangkar,Dhanmondi,Dhaka",2,2,800,20
"ShahAliBag,Section1,Mirpur,Dhaka",3,3,1350,16
"BlockI,BashundharaR-A,Dhaka",3,4,1750,27
"Sector1,BlockE,AftabNagar,Dhaka",3,3,1150,20
"Gawair,DakshinKhan,Dhaka",2,2,600,10
"Badda,Dhaka",3,3,1270,21
"BochilaGardenCity,Bochila,Mohammadpur,Dhaka",2,2,750,10
"BochilaGardenCity,Bochila,Mohammadpur,Dhaka",3,3,1600,18
"BochilaGardenCity,Bochila,Mohammadpur,Dhaka",3,3,1600,18
"BochilaGardenCity,Bochila,Mohammadpur,Dhaka",2,2,750,10
"Pirerbag,Mirpur,Dhaka",3,3,1500,20
"BlockD,Section12,Mirpur,Dhaka",2,2,650,12
"EastRampura,Rampura,Dhaka",2,1,650,11
"Mohammadpur,Dhaka",2,2,700,16
"NayaPaltan,Motijheel,Dhaka",2,2,1120,27
"Sector9,Uttara,Dhaka",2,2,900,19
"Gawair,DakshinKhan,Dhaka",2,1,600,10
"BlockG,BashundharaR-A,Dhaka",1,1,450,10
"BlockB,MansurabadHousingSociety,Adabor,Dhaka",3,3,1200,20
"BlockD,MansurabadHousingSociety,Adabor,Dhaka",3,3,1200,20
"Talertek,Khilkhet,Dhaka",2,2,650,10.5
"BochilaGardenCity,Bochila,Mohammadpur,Dhaka",3,3,1600,18
"BaitulAmanHousingSociety,Adabor,Dhaka",2,2,780,15
"Kafrul,Dhaka",2,2,850,14
"Adabor,Dhaka",3,3,1100,20
"BlockC,Banasree,Dhaka",3,2,1000,19
"Ibrahimpur,Dhaka",2,2,750,13
"Sector9,Uttara,Dhaka",3,3,1700,29
"BaitulAmanHousingSociety,Adabor,Dhaka",3,3,1300,15
"Arambagh,Motijheel,Dhaka",2,1,600,16
"Adabor,Dhaka",3,3,1440,20
"NorthAzampur,DakshinKhan,Dhaka",2,2,600,11
"BlockC,BochilaCityDevelopersLtd,Bochila,Mohammadpur,Dhaka",3,3,1600,19
"ShyamoliHousing(2ndProject),Adabor,Dhaka",2,2,850,15
"EastKazipara,Mirpur,Dhaka",2,2,700,12
"BlockG,BashundharaR-A,Dhaka",3,3,1550,25
"ShyamoliHousing(2ndProject),Adabor,Dhaka",2,2,800,15
"Ibrahimpur,Dhaka",3,3,1340,22
"Ibrahimpur,Dhaka",2,2,950,12
"Arambagh,Motijheel,Dhaka",2,2,900,18
"BlockD,Section12,Mirpur,Dhaka",2,2,650,10
"BlockC,MansurabadHousingSociety,Adabor,Dhaka",2,2,800,15.5
"BlockD,BashundharaR-A,Dhaka",3,3,2350,45
"Sector5,Uttara,Dhaka",4,4,2000,32
"BlockA,BashundharaR-A,Dhaka",3,4,1460,35
"BlockK,SouthBanasreeProject,Banasree,Dhaka",2,2,600,12
"BlockD,BashundharaR-A,Dhaka",3,4,1850,35
"WestNakhalpara,Tejgaon,Dhaka",2,1,500,15
"WestNakhalpara,Tejgaon,Dhaka",2,1,550,14
"BlockE,Section12,Mirpur,Dhaka",2,2,680,12.5
"BoroMaghbazar,Maghbazar,Dhaka",3,2,1200,22
"Boatghat,Namapara,Khilkhet,Dhaka",2,2,800,10
"BlockE,Section12,Mirpur,Dhaka",2,2,650,12.5
"BlockE,Section12,Mirpur,Dhaka",2,2,650,12
"NayaPaltan,Motijheel,Dhaka",4,4,1550,40
"BlockK,Baridhara,Dhaka",3,3,3000,2.2
"BashundharaR-A,Dhaka",3,4,1950,30
"BlockJ,BashundharaR-A,Dhaka",3,3,1650,22
"Ibrahimpur,Dhaka",2,2,720,12.5
"BlockA,BashundharaR-A,Dhaka",3,3,1400,25
"BlockD,MansurabadHousingSociety,Adabor,Dhaka",2,2,800,15
"BlockD,MansurabadHousingSociety,Adabor,Dhaka",2,2,800,15
"BlockB,Banasree,Dhaka",2,1,900,14
"Kafrul,Dhaka",2,2,850,15
"BlockG,Banasree,Dhaka",2,1,800,11
"BlockB,Banasree,Dhaka",2,2,900,16.5
"Sector9,Uttara,Dhaka",2,2,950,20
"BlockC,Section2,Mirpur,Dhaka",2,2,800,14
"Kalabagan,Dhaka",3,2,1100,30.1
"Kafrul,Dhaka",3,2,1000,15
"Ibrahimpur,Dhaka",2,2,800,13
"BashundharaR-A,Dhaka",3,4,1950,26
"MohammadiaHousingSociety,Mohammadpur,Dhaka",3,3,1400,26
"MiddlePirerbag,Pirerbag,Mirpur,Dhaka",3,2,1000,15
"BlockD,MohanagarHousing,WestRampura,Rampura,Dhaka",3,2,1260,25
"BlockD,MansurabadHousingSociety,Adabor,Dhaka",2,2,850,15
"Gulshan2,Gulshan,Dhaka",4,4,3650,1.66
"Shahjadpur,Badda,Dhaka",3,3,1100,20
"Shahjadpur,Badda,Dhaka",3,3,1100,20
"Wari,Sutrapur,Dhaka",3,4,2350,60
"BlockB,NobodoyHousingSociety,Mohammadpur,Dhaka",3,3,1250,18
"Ibrahimpur,Dhaka",2,1,650,10
"BlockL,BashundharaR-A,Dhaka",3,4,1850,25
"BlockA,Banasree,Dhaka",3,2,1100,20
"Tilpapara,Khilgaon,Dhaka",2,2,950,18
"PCCultureHousing,Mohammadpur,Dhaka",2,2,800,16
"ShyamoliHousing(2ndProject),Adabor,Dhaka",2,2,850,15
"NabiNagarHousing,Mohammadpur,Dhaka",3,3,1200,14
"DhakaUddan,Mohammadpur,Dhaka",3,2,1150,14
"BlockA,ChandrimaModelTown,Mohammadpur,Dhaka",2,2,700,11
"Badda,Dhaka",2,2,1000,18
"Pirerbag,Mirpur,Dhaka",2,2,800,9
"Badda,Dhaka",2,2,1000,18
"Section1,Mirpur,Dhaka",3,2,1000,14
"UttarBadda,Badda,Dhaka",2,2,700,13
"BlockD,EasternHousing,Pallabi,Mirpur,Dhaka",3,2,930,13.5
"LatifRealEstate,Katashur,Mohammadpur,Dhaka",2,2,800,15
"Mohammadpur,Dhaka",3,3,1800,30
"WestShewrapara,Mirpur,Dhaka",3,3,1100,20
"Hazaribag,Dhaka",2,1,600,11
"Avenue6,MirpurDOHS,Mirpur,Dhaka",3,3,2200,45
"Taltola,Agargaon,Dhaka",2,2,850,13
"Sector13,Uttara,Dhaka",2,2,900,19
"Sector13,Uttara,Dhaka",4,4,1800,32
"Hazaribag,Dhaka",2,2,700,12
"Sector13,Uttara,Dhaka",4,4,1500,30
"Sector13,Uttara,Dhaka",2,2,900,18
"Paikpara,AhmedNagar,Mirpur,Dhaka",3,3,1380,18
"Paikpara,AhmedNagar,Mirpur,Dhaka",3,3,1365,18
"Paikpara,AhmedNagar,Mirpur,Dhaka",3,3,1355,18
"BlockM,SouthBanasreeProject,Banasree,Dhaka",3,3,1000,14
"SouthBishil,Section1,Mirpur,Dhaka",2,2,650,13
"SouthBishil,Section1,Mirpur,Dhaka",2,2,650,13
"Avenue10,MirpurDOHS,Mirpur,Dhaka",4,4,2200,45
"Paikpara,AhmedNagar,Mirpur,Dhaka",3,3,1380,18
"Paikpara,AhmedNagar,Mirpur,Dhaka",3,3,1355,18
"Gandaria,Sutrapur,Dhaka",2,2,800,11
"BlockM,SouthBanasreeProject,Banasree,Dhaka",3,3,1000,14
"Manikdi,Cantonment,Dhaka",2,2,650,12
"Manikdi,Cantonment,Dhaka",2,2,650,12
"Paikpara,AhmedNagar,Mirpur,Dhaka",3,3,1365,18
"Paikpara,AhmedNagar,Mirpur,Dhaka",3,3,1355,18
"Paikpara,AhmedNagar,Mirpur,Dhaka",3,3,1365,18
"BlockM,SouthBanasreeProject,Banasree,Dhaka",3,3,1000,14
"WestShewrapara,Mirpur,Dhaka",3,3,1200,18
"Nayatola,Maghbazar,Dhaka",2,2,850,17
"Jigatola,Hazaribag,Dhaka",3,4,1250,23
"Maghbazar,Dhaka",3,3,1250,25
"Jigatola,Hazaribag,Dhaka",3,2,1000,22
"Hazaribag,Dhaka",2,2,800,12
"Maghbazar,Dhaka",2,2,750,15
"Avenue6,MirpurDOHS,Mirpur,Dhaka",4,4,2200,45
"Kathalbagan,Dhaka",3,2,1100,23
"Nayatola,Maghbazar,Dhaka",2,2,850,17
"BlockF,BashundharaR-A,Dhaka",3,3,1500,35
"Nikunja2,Nikunja,Dhaka",3,2,800,27
"Avenue5,BlockC,Section11,Mirpur,Dhaka",2,2,650,10
"Section13,Mirpur,Dhaka",3,2,900,14
"WestShewrapara,Mirpur,Dhaka",2,1,600,9
"Avenue5,BlockC,Section11,Mirpur,Dhaka",2,2,650,10
"Nikunja2,Nikunja,Dhaka",2,2,700,18
"Avenue5,BlockC,Section11,Mirpur,Dhaka",2,2,650,12
"Cantonment,Dhaka",2,1,500,10
"BlockC,Section13,Mirpur,Dhaka",2,2,650,11.5
"BlockB,Banasree,Dhaka",3,2,1000,18
"RoadNo8,BlockJ,Baridhara,Dhaka",3,4,1710,35
"BlockC,Section13,Mirpur,Dhaka",3,3,1460,26
"Mirpur,Dhaka",3,2,950,12
"Mohammadpur,Dhaka",2,2,720,15
"Mohammadpur,Dhaka",2,2,720,15
"MohammadiHousingLTD.,Mohammadpur,Dhaka",2,2,800,16
"Mohammadpur,Dhaka",2,2,720,16
"BlockA,Rainkhola,Section2,Mirpur,Dhaka",2,2,700,15
"SouthBishil,Section1,Mirpur,Dhaka",3,3,1200,20
"SouthBishil,Section1,Mirpur,Dhaka",2,2,600,12
"Manikdi,Cantonment,Dhaka",2,2,620,11
"Manikdi,Cantonment,Dhaka",3,3,950,15
"Nikunja2,Nikunja,Dhaka",2,2,750,15.5
"BlockD,Banasree,Dhaka",3,2,1000,18.5
"Avenue5,BlockC,Section11,Mirpur,Dhaka",2,2,650,10
"Sector12,Uttara,Dhaka",2,2,850,17
"Avenue5,BlockC,Section11,Mirpur,Dhaka",2,2,650,12
"Avenue5,BlockC,Section11,Mirpur,Dhaka",2,2,650,11
"Nikunja2,Nikunja,Dhaka",3,2,1400,26
"Sector12,Uttara,Dhaka",3,2,1000,22
"Khilgaon,Dhaka",2,2,700,16.5
"MiddleMonipur,Mirpur,Dhaka",2,2,800,12
"Cantonment,Dhaka",2,1,500,11
"Cantonment,Dhaka",2,2,650,11
"Manikdi,Cantonment,Dhaka",2,2,650,11
"Sector5,Uttara,Dhaka",1,1,500,15
"Avenue5,BlockC,Section11,Mirpur,Dhaka",2,2,650,12
"Section13,Mirpur,Dhaka",2,2,650,11
"Avenue5,BlockC,Section11,Mirpur,Dhaka",2,2,650,10
"Section13,Mirpur,Dhaka",2,2,650,11
"Mohakhali,Dhaka",2,1,500,15
"Mohakhali,Dhaka",2,1,500,15
"BlockB,DhakaUddan,Mohammadpur,Dhaka",3,3,1200,16
"BlockB,DhakaUddan,Mohammadpur,Dhaka",3,3,1200,16
"BlockF,azizMoholla,Mohammadpur,Dhaka",2,2,720,14
"BlockF,azizMoholla,Mohammadpur,Dhaka",2,1,600,12
"MalibagBazarRd,Malibagh,Dhaka",2,2,700,18
"UttarBadda,Badda,Dhaka",2,2,700,13
"BlockK,SouthBanasreeProject,Banasree,Dhaka",3,2,1000,14
"MalibagBazarRd,Malibagh,Dhaka",2,2,700,17
"UttarBadda,Badda,Dhaka",2,2,700,13
"BlockF,azizMoholla,Mohammadpur,Dhaka",2,2,720,15
"BlockB,DhakaUddan,Mohammadpur,Dhaka",3,3,1200,16
"BlockB,DhakaUddan,Mohammadpur,Dhaka",3,3,1200,16
"Tejkunipara,Tejgaon,Dhaka",3,3,1200,28
"Kalachandpur,Dhaka",2,2,700,14
"Kalachandpur,Dhaka",2,2,700,13
"Kalachandpur,Dhaka",2,1,650,12
"Kalachandpur,Dhaka",2,2,700,13.5
"JoarSahara,Dhaka",3,2,1150,23
"Kalachandpur,Dhaka",2,2,750,14
"Tejkunipara,Tejgaon,Dhaka",2,2,800,24
"Kalachandpur,Dhaka",2,2,700,13.5
"Tejkunipara,Tejgaon,Dhaka",2,2,800,24
"BlockK,SouthBanasreeProject,Banasree,Dhaka",3,2,1000,14
"BlockK,SouthBanasreeProject,Banasree,Dhaka",3,2,1000,14
"BlockK,SouthBanasreeProject,Banasree,Dhaka",3,2,1000,14
"BaitulAmanHousingSociety,Adabor,Dhaka",2,2,700,16
"LakeViewSociety,SouthPirerbag,Pirerbag,Mirpur,Dhaka",3,3,1425,20
"BlockA,BashundharaR-A,Dhaka",3,4,1950,38
"BlockA,Section12,Mirpur,Dhaka",2,2,650,10
"BlockD,NobodoyHousingSociety,Mohammadpur,Dhaka",3,3,1150,17.5
"BlockD,NobodoyHousingSociety,Mohammadpur,Dhaka",3,3,1150,17.5
"BlockD,NobodoyHousingSociety,Mohammadpur,Dhaka",3,3,1150,17.5
"BlockD,NobodoyHousingSociety,Mohammadpur,Dhaka",3,3,1150,17.5
"BlockE,SouthBanasreeProject,Banasree,Dhaka",2,2,650,12
"Sector12,Uttara,Dhaka",2,2,900,15
"BlockF,Section11,Mirpur,Dhaka",2,2,650,11
"Section12,Mirpur,Dhaka",3,3,1600,30
"Section12,Mirpur,Dhaka",3,3,1600,30
"Section12,Mirpur,Dhaka",3,3,1600,31
"Section12,Mirpur,Dhaka",3,3,1600,28
"Section12,Mirpur,Dhaka",3,3,1600,30
"Section12,Mirpur,Dhaka",3,3,1600,29
"Kuril,Dhaka",3,3,950,16
"Ashkona,DakshinKhan,Dhaka",3,2,1100,16
"Ibrahimpur,Dhaka",2,1,650,10
"Ashkona,DakshinKhan,Dhaka",3,2,1100,16
"WestKalachandpur,Kalachandpur,Dhaka",4,4,2000,40
"Ashkona,DakshinKhan,Dhaka",3,2,1100,16
"MohammadiHousingLTD.,Mohammadpur,Dhaka",3,3,1150,20
"Modhubag,BoroMaghbazar,Maghbazar,Dhaka",2,2,1000,18
"Kallyanpur,Mirpur,Dhaka",2,1,600,10.5
"Mirpur,Dhaka",2,2,800,12.5
"Jagannathpur,Badda,Dhaka",2,2,750,13
"BlockE,Section12,Mirpur,Dhaka",2,2,650,11
"NewMarket,Dhaka",3,4,1600,40
"Sayednagar,EastVatara,Vatara,Badda,Dhaka",3,2,1000,13
"JoarSahara,Dhaka",2,1,600,11.5
"ShahAliBag,Section1,Mirpur,Dhaka",3,3,1360,18
"Rajarbag,Bashabo,Dhaka",2,2,700,15
"Malibagh,Dhaka",2,2,800,18
"Sobhanbagh,Tejgaon,Dhaka",2,2,650,16
"BaitulAmanHousingSociety,Adabor,Dhaka",2,2,800,15
"BaitulAmanHousingSociety,Adabor,Dhaka",2,2,800,15
"Gulbag,Malibagh,Dhaka",2,2,800,18
"ShahAliBag,Section1,Mirpur,Dhaka",3,3,1360,19
"WestKafrul,Taltola,Agargaon,Dhaka",2,2,900,14
"Taltola,Agargaon,Dhaka",2,2,700,12
"Maghbazar,Dhaka",2,1,550,12.5
"BlockF,azizMoholla,Mohammadpur,Dhaka",2,2,720,14.5
"JanataHousing,Sher-E-Banglanagar,WestAgargaon,Agargaon,Dhaka",2,2,700,13
"Rajarbag,Bashabo,Dhaka",2,1,800,13
"Nikunja2,Nikunja,Dhaka",2,2,700,17
"WestKafrul,Taltola,Agargaon,Dhaka",3,3,1200,17
"BlockC,Section13,Mirpur,Dhaka",2,2,650,14
"Vashantek,Cantonment,Dhaka",2,2,750,13
"Mirpur,Dhaka",2,2,800,13
"MohammadiHousingLTD.,Mohammadpur,Dhaka",3,3,1150,22
"Hazaribag,Dhaka",2,1,600,15
"Kuratoli,Kuril,Dhaka",2,2,700,13
"BlockD,Section12,Mirpur,Dhaka",2,2,650,11
"BlockD,Section12,Mirpur,Dhaka",2,2,650,11
"BlockD,Section12,Mirpur,Dhaka",2,2,650,10
"BlockE,Section11,Mirpur,Dhaka",2,2,650,10
"Mohammadpur,Dhaka",3,3,1580,40
"BlockC,ArambagResidentialArea,Pallabi,Mirpur,Dhaka",3,3,1100,16
"Gulbag,Malibagh,Dhaka",2,2,800,18
"Tejkunipara,Tejgaon,Dhaka",2,2,900,23
"Mohammadpur,Dhaka",2,2,720,16
"NewMarket,Dhaka",1,1,400,16
"Mohakhali,Dhaka",3,2,1000,20
"BlockD,Section12,Mirpur,Dhaka",2,1,550,11
"Gawair,DakshinKhan,Dhaka",2,2,700,10
"Agargaon,Dhaka",2,2,650,11
"Gulbag,Malibagh,Dhaka",2,2,800,18
"Gandaria,Sutrapur,Dhaka",3,2,900,22
"BlockC,Section13,Mirpur,Dhaka",2,2,650,11.5
"BlockM,SouthBanasreeProject,Banasree,Dhaka",3,3,1250,17
"Sobhanbagh,Tejgaon,Dhaka",2,2,700,17
"BaitulAmanHousingSociety,Adabor,Dhaka",2,2,850,15
"EastNakhalpara,Tejgaon,Dhaka",2,1,550,15
"BlockF,azizMoholla,Mohammadpur,Dhaka",2,1,650,12
"NorthIbrahimpur,Ibrahimpur,Dhaka",2,1,600,9
"BlockB,DhakaUddan,Mohammadpur,Dhaka",3,3,1100,14
"Mohakhali,Dhaka",3,3,1070,23
"Mirpur,Dhaka",3,3,1100,15
"2ndColony,Mirpur,Dhaka",2,2,700,12
"BlockA,Section10,Mirpur,Dhaka",2,2,650,12
"Sector12,Uttara,Dhaka",2,2,900,17
"BlockC,Section13,Mirpur,Dhaka",2,2,650,11
"ShahAliBag,Section1,Mirpur,Dhaka",3,3,1350,16
"Mohakhali,Dhaka",2,2,750,20
"Taltola,Agargaon,Dhaka",2,2,750,13
"SouthBishil,Section1,Mirpur,Dhaka",2,2,750,13
"SouthBishil,Section1,Mirpur,Dhaka",2,2,750,14
"Mohammadpur,Dhaka",2,2,700,16
"WestRampura,Rampura,Dhaka",2,2,850,14
"BlockD,Section12,Mirpur,Dhaka",2,2,700,12
"VhataraRoad,NatunBazar,Badda,Dhaka",3,3,1750,60
"BlockF,Section1,Mirpur,Dhaka",2,1,650,11
"Banani,Dhaka",2,2,800,38
"WestAgargaon,Agargaon,Dhaka",3,4,1200,20
"BlockD,Section12,Mirpur,Dhaka",2,2,650,12.5
"BlockA,Section10,Mirpur,Dhaka",2,2,650,12
"BlockD,Section12,Mirpur,Dhaka",2,2,650,12.5
"Sector12,Uttara,Dhaka",2,2,900,16
"Ibrahimpur,Dhaka",3,2,1050,18
"Mohammadpur,Dhaka",2,2,850,14
"BlockA,Section10,Mirpur,Dhaka",2,2,650,12
"BlockK,SouthBanasreeProject,Banasree,Dhaka",3,2,1150,14.5
"BlockE,Section12,Mirpur,Dhaka",2,2,650,12
"Avenue6,MirpurDOHS,Mirpur,Dhaka",4,4,2200,45
"Gandaria,Sutrapur,Dhaka",3,2,1150,22
"Ullan,WestRampura,Rampura,Dhaka",2,1,600,10.5
"BlockA,Section10,Mirpur,Dhaka",2,2,650,13
"WestShewrapara,Mirpur,Dhaka",1,1,500,8
"Banani,Dhaka",2,2,1000,38
"Khilgaon,Dhaka",2,2,700,17
"Nikunja2,Nikunja,Dhaka",3,3,800,22
"SenparaParbata,Section10,Mirpur,Dhaka",2,2,650,13
"BlockD,Section12,Mirpur,Dhaka",2,2,650,11
"BlockD,Section12,Mirpur,Dhaka",2,2,650,12
"Sector12,Uttara,Dhaka",2,2,900,18
"Sector5,Uttara,Dhaka",2,1,500,14.2
"Section10,Mirpur,Dhaka",3,3,1350,30
"BlockB,NobodoyHousingSociety,Mohammadpur,Dhaka",2,2,800,14
"BlockC,Banasree,Dhaka",2,2,900,18
"Sector12,Uttara,Dhaka",2,2,900,18
"BlockC,Section12,Mirpur,Dhaka",2,2,650,10
"BlockB,Section11,Mirpur,Dhaka",2,2,650,11
"WestRampura,Rampura,Dhaka",2,2,850,15
"BlockD,Banasree,Dhaka",3,2,1000,20
"BlockA,Section10,Mirpur,Dhaka",2,2,650,11.5
"BlockD,Section12,Mirpur,Dhaka",2,2,650,13
"BlockD,Section12,Mirpur,Dhaka",2,2,650,12
"BlockD,Section12,Mirpur,Dhaka",2,2,650,12.5
"Nikunja2,Nikunja,Dhaka",2,2,720,18
"BlockD,Section12,Mirpur,Dhaka",2,2,650,12
"SuchonaModelTown,Bochila,Mohammadpur,Dhaka",2,2,700,12
"BlockF,Banasree,Dhaka",2,1,700,14
"Shegunbagicha,Dhaka",3,4,2000,50
"Hatirpool,Dhaka",2,1,600,15
"BaitulAmanHousingSociety,Adabor,Dhaka",3,3,1400,20
"BlockC,Banasree,Dhaka",3,2,1100,23
"BlockB,Banasree,Dhaka",2,2,1050,18
"Avenue3,BlockB,Section11,Mirpur,Dhaka",2,1,650,10
"UttarBadda,Badda,Dhaka",3,3,1200,18
"Mohammadpur,Dhaka",2,2,720,15
"BoroMaghbazar,Maghbazar,Dhaka",2,2,850,18
"Malibagh,Dhaka",2,1,600,16
"Mohammadpur,Dhaka",2,2,650,16
"SouthMollartek,DakshinKhan,Dhaka",3,2,1150,16
"Motijheel,Dhaka",3,3,1300,32
